Comment,Designator,Footprint,LCSC
SMF6.0CA,D1,D_SOD-123,C123791
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
0.1uF,"C4,C5,C6",C_0603_1608Metric,C14663
1uF,C3,C_0603_1608Metric,C15849
22pF,"C1,C2",C_0603_1608Metric,C1653
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-Assembly,C165948
10uF,C7,C_0603_1608Metric,C19702
1k,R6,R_0603_1608Metric,C21190
5.1k,"R4,R5",R_0603_1608Metric,C23186
22,"R1,R2",R_0603_1608Metric,C23345
10k,R3,R_0603_1608Metric,C25804
SW_Push,SW1,SW_SPST_TL3342,C318884
60R@100MHz,L1,L_1206_3216Metric,C33600
ATmega32U4-MU,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C45874
MX-NoLED,"K_A1,K_B1,K_BKSL1,K_BKSPC1,K_C1,K_CAPS1,K_D1,K_DOWN1,K_E1,K_ENTER1,K_ESC1,K_F1,K_G1,K_H1,K_HENK1,K_I1,K_J1,K_K1,K_L1,K_LALT1,K_LCTRL1,K_LEFT1,K_LSFT1,K_LSPACE1,K_M1,K_N1,K_NHENK1,K_O1,K_P1,K_Q1,K_R1,K_RIGHT1,K_RSFT1,K_RSPACE1,K_S1,K_T1,K_TAB1,K_U1,K_UP1,K_V1,K_W1,K_WIN1,K_X1,K_Y1,K_YEN1,K_Z1",MXOnly-1U-Hotswap,C5156480
Polyfuse_Small,F1,Fuse_1206_3216Metric,C70082
PRTR5V0U2X,U2,SOT143B,C78442
SOD-123,"D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D7,D8,D9",D_SOD-123,C81598
