Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0603_1608Metric,152.773875,-256.72175,0,bottom
C2,22pF,C_0603_1608Metric,152.773875,-258.75375,0,bottom
C3,1uF,C_0603_1608Metric,163.695875,-263.32575,0,bottom
C4,0.1uF,C_0603_1608Metric,161.028875,-252.02275,0,bottom
C5,0.1uF,C_0603_1608Metric,169.918875,-254.11825,270,bottom
C6,0.1uF,C_0603_1608Metric,158.488875,-261.92875,0,bottom
C7,10uF,C_0603_1608Metric,169.918875,-260.27775,90,bottom
D1,SMF6.0CA,D_SOD-123,152.4,-192.0875,90,bottom
D2,SOD-123,D_SOD-123,164.30625,-185.7375,90,bottom
D3,SOD-123,D_SOD-123,170.65625,-203.2,90,bottom
D4,SOD-123,D_SOD-123,175.41875,-222.25,90,bottom
D5,SOD-123,D_SOD-123,180.18125,-241.3,90,bottom
D6,SOD-123,D_SOD-123,142.08125,-259.55625,90,bottom
D7,SOD-123,D_SOD-123,167.48125,-185.7375,90,bottom
D8,SOD-123,D_SOD-123,173.83125,-203.2,90,bottom
D9,SOD-123,D_SOD-123,178.59375,-222.25,90,bottom
D10,SOD-123,D_SOD-123,183.35625,-241.3,90,bottom
D11,SOD-123,D_SOD-123,180.18125,-183.35625,90,bottom
D12,SOD-123,D_SOD-123,189.70625,-202.40625,90,bottom
D13,SOD-123,D_SOD-123,194.46875,-221.45625,90,bottom
D14,SOD-123,D_SOD-123,199.23125,-240.50625,90,bottom
D15,SOD-123,D_SOD-123,203.99375,-259.55625,90,bottom
D16,SOD-123,D_SOD-123,199.23125,-183.35625,90,bottom
D17,SOD-123,D_SOD-123,208.75625,-202.40625,90,bottom
D18,SOD-123,D_SOD-123,213.51875,-221.45625,90,bottom
D19,SOD-123,D_SOD-123,218.28125,-240.50625,90,bottom
D20,SOD-123,D_SOD-123,223.04375,-259.55625,90,bottom
D21,SOD-123,D_SOD-123,218.28125,-183.35625,90,bottom
D22,SOD-123,D_SOD-123,227.80625,-202.40625,90,bottom
D23,SOD-123,D_SOD-123,232.664,-221.488,90,bottom
D24,SOD-123,D_SOD-123,237.33125,-240.50625,90,bottom
D25,SOD-123,D_SOD-123,245.26875,-259.61875,90,bottom
D26,SOD-123,D_SOD-123,237.33125,-183.35625,90,bottom
D27,SOD-123,D_SOD-123,246.85625,-202.40625,90,bottom
D28,SOD-123,D_SOD-123,251.46,-221.488,90,bottom
D29,SOD-123,D_SOD-123,256.38125,-240.50625,90,bottom
D30,SOD-123,D_SOD-123,270.075,-259.35,90,bottom
D31,SOD-123,D_SOD-123,290.075,-259.63125,90,bottom
D32,SOD-123,D_SOD-123,256.38125,-183.35625,90,bottom
D33,SOD-123,D_SOD-123,265.90625,-202.40625,90,bottom
D34,SOD-123,D_SOD-123,270.183,-221.411,90,bottom
D35,SOD-123,D_SOD-123,275.43125,-240.50625,90,bottom
D36,SOD-123,D_SOD-123,309.165625,-259.55,90,bottom
D37,SOD-123,D_SOD-123,275.43125,-183.35625,90,bottom
D38,SOD-123,D_SOD-123,284.95625,-202.40625,90,bottom
D39,SOD-123,D_SOD-123,289.71875,-221.45625,90,bottom
D40,SOD-123,D_SOD-123,294.48125,-240.50625,90,bottom
D41,SOD-123,D_SOD-123,294.48125,-183.35625,90,bottom
D42,SOD-123,D_SOD-123,304.00625,-202.40625,90,bottom
D43,SOD-123,D_SOD-123,308.76875,-221.45625,90,bottom
D44,SOD-123,D_SOD-123,313.53125,-240.50625,90,bottom
D45,SOD-123,D_SOD-123,313.53125,-183.35625,90,bottom
D46,SOD-123,D_SOD-123,323.05625,-202.40625,90,bottom
D47,SOD-123,D_SOD-123,327.81875,-221.45625,90,bottom
D48,SOD-123,D_SOD-123,332.58125,-240.50625,90,bottom
D49,SOD-123,D_SOD-123,332.58125,-183.35625,90,bottom
D50,SOD-123,D_SOD-123,342.10625,-202.40625,90,bottom
D51,SOD-123,D_SOD-123,346.86875,-221.45625,90,bottom
D52,SOD-123,D_SOD-123,351.63125,-240.50625,90,bottom
D53,SOD-123,D_SOD-123,351.63125,-183.35625,90,bottom
